	# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#Sample 29	-45.8254	-6.6195	90.2782
#HK	-45.8254	-6.6195	90.2782
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-43.1510	-15.9675	94.6105	2021-05-19	10:10:46.908	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 2	Session 1	2	-43.5908	-16.5666	94.9411	2021-05-19	10:10:58.726	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 3	Session 1	3	-51.3403	-20.9883	91.1267	2021-05-19	10:11:04.480	TTL1	0.0000	1	14.9982	60.0034	3.4204
Sample 4	Session 1	4	-53.1158	-22.1951	89.6706	2021-05-19	10:11:08.692	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 5	Session 1	5	-45.0785	-18.4610	93.3314	2021-05-19	10:11:14.948	TTL1	0.0000	1	14.9982	60.0034	3.4204
Sample 6	Session 1	6	-29.0654	-25.0051	102.9297	2021-05-19	10:11:20.411	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 7	Session 1	7	-32.0911	-7.8900	97.7621	2021-05-19	10:11:27.819	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 8	Session 1	8	-41.5877	6.4528	87.9849	2021-05-19	10:11:31.877	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 9	Session 1	9	-41.9766	5.7925	89.1128	2021-05-19	10:11:35.671	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 10	Session 1	10	-81.5066	-42.7570	230.7929	2021-05-19	10:11:44.593	TTL1	0.0000	1	14.9982	60.0034	3.4204
Sample 11	Session 1	11	-42.6160	-12.9525	93.2180	2021-05-19	10:12:00.257	TTL1	0.0000	1	14.9982	60.0034	340.9088
Sample 12	Session 1	12	-43.0592	-12.8953	92.6583	2021-05-19	10:12:15.934	TTL1	0.0000	1	14.9982	60.0034	60.4286
Sample 13	Session 1	13	-37.3374	-9.3143	95.4395	2021-05-19	10:12:49.878	TTL1	0.0000	1	14.9982	60.0034	80.9516
Sample 14	Session 1	14	-39.7756	-13.0062	94.7128	2021-05-19	10:12:56.548	TTL1	0.0000	1	14.9982	60.0034	117.4369
Sample 15	Session 1	15	-29.3438	-7.2696	99.0884	2021-05-19	10:14:06.040	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 16	Session 1	16	-36.1919	-10.0961	96.2041	2021-05-19	10:14:09.847	TTL1	0.0000	1	14.9982	60.0034	9.1213
Sample 17	Session 1	17	-42.3293	-14.1911	93.2796	2021-05-19	10:14:14.963	TTL1	0.0000	1	14.9982	60.0034	9.1212
Sample 18	Session 1	18	-43.8524	-16.4615	93.1434	2021-05-19	10:14:27.028	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 19	Session 1	19	24.8623	-47.9311	106.2216	2021-05-19	10:14:31.934	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 20	Session 1	20	-25.2010	7.5916	96.6003	2021-05-19	10:14:35.937	TTL1	0.0000	1	14.9982	60.0034	6.8409
Sample 21	Session 1	21	-45.2471	1.0054	87.8028	2021-05-19	10:14:38.887	TTL1	0.0000	1	14.9982	60.0034	44.4663
Sample 22	Session 1	22	-44.1113	-0.9767	89.3585	2021-05-19	10:14:45.299	TTL1	0.0000	1	14.9982	60.0034	31.9246
Sample 23	Session 1	23	-42.0537	-1.8639	90.8138	2021-05-19	10:14:51.251	TTL1	0.0000	1	14.9982	60.0034	23.9434
Sample 24	Session 1	24	-42.3193	-4.9847	94.1228	2021-05-19	10:14:57.867	TTL1	0.0000	1	14.9982	60.0034	10.2615
Sample 25	Session 1	25	-35.7299	-3.3246	94.5322	2021-05-19	10:15:01.578	TTL1	0.0000	1	14.9982	60.0034	26.2238
Sample 26	Session 1	26	-45.5403	-2.2725	89.2347	2021-05-19	10:15:06.929	TTL1	0.0000	1	14.9982	60.0034	39.9058
Sample 27	Session 1	27	-43.5240	-6.6896	92.7440	2021-05-19	10:15:21.154	TTL1	0.0000	1	14.9982	60.0034	10.2615
Sample 28	Session 1	28	-43.5224	-6.5692	92.8029	2021-05-19	10:15:21.404	TTL1	0.0000	1	14.9982	60.0034	5.7008
HK	Session 1	29	-45.8254	-6.6195	90.2782	2021-05-19	10:15:25.505	TTL1	0.0000	1	14.9982	60.0034	335.2081
Sample 30	Session 1	30	-47.0577	-6.4587	89.3828	2021-05-19	10:16:31.198	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 31	Session 1	31	-46.3285	-6.2175	90.0119	2021-05-19	10:16:44.277	TTL1	0.0000	1	14.9982	60.0034	38.7656
Sample 32	Session 1	32	-46.3497	-6.4441	90.1653	2021-05-19	10:16:54.733	TTL1	0.0000	1	14.9982	60.0034	216.6310
Sample 33	Session 1	33	-46.5838	-6.4730	90.2392	2021-05-19	10:17:01.946	TTL1	0.0000	1	14.9982	60.0034	229.1728
Sample 34	Session 1	34	-47.0415	-6.3106	90.0195	2021-05-19	10:17:10.456	TTL1	0.0000	1	14.9982	60.0034	137.9598
Sample 35	Session 1	35	-46.6793	-6.4209	90.2432	2021-05-19	10:17:17.668	TTL1	0.0000	1	14.9982	60.0034	157.3425
Sample 36	Session 1	36	-46.5813	-6.3275	90.2626	2021-05-19	10:17:27.230	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 37	Session 1	37	-46.6874	-6.4154	90.2360	2021-05-19	10:17:35.292	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 38	Session 1	38	-46.7154	-6.4816	90.1875	2021-05-19	10:17:43.658	TTL1	0.0000	1	14.9982	60.0034	6.8409
Sample 39	Session 1	39	-46.5767	-6.4292	90.1304	2021-05-19	10:18:00.377	TTL1	0.0000	1	14.9982	60.0034	163.0435
Sample 40	Session 1	40	-46.5495	-6.5716	90.2234	2021-05-19	10:18:08.299	TTL1	0.0000	1	14.9982	60.0034	53.5876
Sample 41	Session 1	41	-46.5976	-6.4208	90.1986	2021-05-19	10:18:21.461	TTL1	0.0000	1	14.9982	60.0034	4.5607
Sample 42	Session 1	42	-46.5875	-6.3610	90.4088	2021-05-19	10:18:30.470	TTL1	0.0000	1	14.9982	60.0034	124.2778
Sample 43	Session 1	43	-46.4828	-6.1283	90.6066	2021-05-19	10:18:36.877	TTL1	0.0000	1	14.9982	60.0034	5.7008
Sample 44	Session 1	44	-46.5611	-6.2752	90.4149	2021-05-19	10:18:44.145	TTL1	0.0000	1	14.9982	60.0034	44.4663
Sample 45	Session 1	45	-46.5558	-5.9181	90.8950	2021-05-19	10:18:53.303	TTL1	0.0000	1	14.9982	60.0034	6.8409
Sample 46	Session 1	46	-46.5006	-6.1230	90.6712	2021-05-19	10:19:00.462	TTL1	0.0000	1	14.9982	60.0034	35.3451
Sample 47	Session 1	47	-46.4097	-6.1723	90.7867	2021-05-19	10:19:12.029	TTL1	0.0000	1	14.9982	60.0034	70.6902
Sample 48	Session 1	48	-46.2554	-6.4348	90.7786	2021-05-19	10:19:19.691	TTL1	0.0000	1	14.9982	60.0034	6.8409
MEP_First	Session 1	49	-46.5124	-6.5661	89.9759	2021-05-19	10:21:01.543	TTL1	0.0000	1	14.9982	60.0034	66.1295
Sample 50	Session 1	50	-46.4938	-6.6162	90.0254	2021-05-19	10:21:04.850	TTL1	0.0000	1	14.9982	60.0034	507.3727
Sample 51	Session 1	51	-46.3615	-6.3932	90.0363	2021-05-19	10:21:09.298	TTL1	0.0000	1	14.9982	60.0034	277.0597
Sample 52	Session 1	52	-46.3481	-6.5785	90.0732	2021-05-19	10:21:13.051	TTL1	0.0000	1	14.9982	60.0034	587.1842
Sample 53	Session 1	53	-46.3952	-6.4321	89.9513	2021-05-19	10:21:16.458	TTL1	0.0000	1	14.9982	60.0034	233.7335
Sample 54	Session 1	54	-46.4851	-6.1354	90.0565	2021-05-19	10:21:21.419	TTL1	0.0000	1	14.9982	60.0034	355.7310
Sample 55	Session 1	55	-46.2809	-6.4048	90.2328	2021-05-19	10:21:29.326	TTL1	0.0000	1	14.9982	60.0034	337.4884
Sample 56	Session 1	56	-46.5771	-6.3613	90.1752	2021-05-19	10:21:36.345	TTL1	0.0000	1	14.9982	60.0034	511.9333
Sample 57	Session 1	57	-46.1562	-6.3452	90.1332	2021-05-19	10:21:44.044	TTL1	0.0000	1	14.9982	60.0034	254.2564
Sample 58	Session 1	58	-46.1714	-6.3600	90.2168	2021-05-19	10:21:49.061	TTL1	0.0000	1	14.9982	60.0034	477.7285
Sample 59	Session 1	59	-46.1079	-6.3603	90.1358	2021-05-19	10:21:53.272	TTL1	0.0000	1	14.9982	60.0034	362.5720
Sample 60	Session 1	60	-46.1095	-6.3538	90.2930	2021-05-19	10:21:59.317	TTL1	0.0000	1	14.9982	60.0034	427.5613
Sample 61	Session 1	61	-45.9904	-6.4129	90.4198	2021-05-19	10:22:03.973	TTL1	0.0000	1	14.9982	60.0034	243.9951
Sample 62	Session 1	62	-45.9721	-6.3800	90.4184	2021-05-19	10:22:08.281	TTL1	0.0000	1	14.9982	60.0034	125.4180
Sample 63	Session 1	63	-45.9751	-6.3182	90.3762	2021-05-19	10:22:12.200	TTL1	0.0000	1	14.9982	60.0034	95.7737
Sample 64	Session 1	64	-45.8283	-6.2532	90.6326	2021-05-19	10:22:15.702	TTL1	0.0000	1	14.9982	60.0034	199.5286
DontUse	Session 1	65	-45.7595	-6.3814	90.9072	2021-05-19	10:22:27.159	TTL1	0.0000	1	14.9982	60.0034	467.4670
DontUse	Session 1	66	-45.7703	-6.4018	90.9078	2021-05-19	10:22:27.256	TTL1	0.0000	1	14.9982	60.0034	111.7360
DontUse	Session 1	67	-140.9642	-214.7484	252.3164	2021-05-19	10:22:40.486	TTL1	0.0000	1	14.9982	60.0034	4.5607
