	# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
# Target Name	Loc. X	Loc. Y	Loc. Z
#HK_Session1	-55.3505	-9.1231	87.2727
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 1	1	-61.4359	-10.3963	83.9422	2021-12-15	10:46:46.904	TTL1	0.0000	1	15.0031	59.9979	4.5605
Sample 2	Session 1	2	-60.4187	-11.7580	84.8143	2021-12-15	10:46:55.217	TTL1	0.0000	1	15.0031	59.9979	5.7008
Sample 3	Session 1	3	-63.7373	-15.0583	82.4563	2021-12-15	10:47:47.642	TTL1	0.0000	1	15.0031	59.9979	4.5605
Sample 4	Session 1	4	-63.7780	-15.3657	82.0873	2021-12-15	10:47:47.836	TTL1	0.0000	1	15.0031	59.9979	5.7008
Sample 5	Session 1	5	-60.8591	-20.6510	86.1087	2021-12-15	10:47:51.144	TTL1	0.0000	1	15.0031	59.9979	5.7008
Sample 6	Session 1	6	-64.5854	-1.3178	77.3368	2021-12-15	10:47:54.499	TTL1	0.0000	1	15.0031	59.9979	5.7008
Sample 7	Session 1	7	-72.3324	-2.6023	69.8600	2021-12-15	10:47:59.809	TTL1	0.0000	1	15.0031	59.9979	4.5605
Sample 8	Session 1	8	-63.2357	-14.6277	82.7850	2021-12-15	10:48:12.319	TTL1	0.0000	1	15.0031	59.9979	20.5229
Sample 9	Session 1	9	-58.4969	-3.1224	83.4303	2021-12-15	10:48:17.037	TTL1	0.0000	1	15.0031	59.9979	94.6335
Sample 10	Session 1	10	-58.1199	-3.3283	84.0000	2021-12-15	10:48:21.542	TTL1	0.0000	1	15.0031	59.9979	102.6147
Sample 11	Session 1	11	-57.7131	-3.4274	83.7068	2021-12-15	10:48:27.490	TTL1	0.0000	1	15.0031	59.9979	156.2025
