	# Version: 12
# Coordinate system: MNI
# Created by: Brainsight 2.4.6
# Units: millimetres, degrees, milliseconds, and microvolts
# Encoding: UTF-8
# Notes: Each column is delimited by a tab. Each value within a column is delimited by a semicolon.
Sample Name	Session Name	Index	Loc. X	Loc. Y	Loc. Z	Date	Time	Creation Cause	Offset	EMG Channels	EMG Window Start	EMG Window End	EMG Peak-to-peak 1
Sample 1	Session 2	1	-81.6140	-17.7369	157.0100	2022-04-06	10:55:53.318	TTL1	0.0000	1	14.9979	59.9987	5.7008
Sample 2	Session 2	2	-52.0789	-1.3038	90.4777	2022-04-06	10:56:17.795	TTL1	0.0000	1	14.9979	59.9987	98.0541
Sample 3	Session 2	3	-52.8178	-1.3365	89.5512	2022-04-06	10:56:23.205	TTL1	0.0000	1	14.9979	59.9987	26.2238
Sample 4	Session 2	4	-52.5318	-0.6545	91.0326	2022-04-06	10:56:26.555	TTL1	0.0000	1	14.9979	59.9987	67.2696
Sample 5	Session 2	5	-54.6875	-0.5904	88.6031	2022-04-06	10:56:32.517	TTL1	0.0000	1	14.9979	59.9987	15.9623
Sample 6	Session 2	6	-49.8364	-2.9968	95.1456	2022-04-06	10:56:38.623	TTL1	0.0000	1	14.9979	59.9987	12.5418
Sample 7	Session 2	7	-52.8810	-1.6417	90.1044	2022-04-06	10:56:48.244	TTL1	0.0000	1	14.9979	59.9987	76.3910
Sample 8	Session 2	8	-53.6590	-1.2662	90.3843	2022-04-06	10:57:05.367	TTL1	0.0000	1	14.9979	59.9987	85.5123
Sample 9	Session 2	9	-53.0669	-1.1673	89.8225	2022-04-06	10:57:19.087	TTL1	0.0000	1	14.9979	59.9987	163.0434
Sample 10	Session 2	10	-52.8554	-1.4373	89.9183	2022-04-06	10:57:28.154	TTL1	0.0000	1	14.9979	59.9987	85.5123
Sample 11	Session 2	11	-52.6500	-1.2883	90.0322	2022-04-06	10:57:35.163	TTL1	0.0000	1	14.9979	59.9987	99.1942
HK_Session2	Session 2	12	-52.4096	-1.1335	90.8969	2022-04-06	10:57:41.173	TTL1	0.0000	1	14.9979	59.9987	306.7040
Sample 13	Session 2	13	-52.7679	-0.9048	89.9565	2022-04-06	10:59:20.510	TTL1	0.0000	1	14.9979	59.9987	59.2885
Sample 14	Session 2	14	-52.6084	-1.0119	91.3237	2022-04-06	10:59:32.938	TTL1	0.0000	1	14.9979	59.9987	7.9811
Sample 15	Session 2	15	-52.9106	-1.3688	91.3401	2022-04-06	10:59:44.395	TTL1	0.0000	1	14.9979	59.9987	60.4287
Sample 16	Session 2	16	-52.8518	-1.3933	91.1210	2022-04-06	10:59:55.962	TTL1	0.0000	1	14.9979	59.9987	42.1861
Sample 17	Session 2	17	-53.4073	-1.2362	90.9580	2022-04-06	11:00:06.288	TTL1	0.0000	1	14.9979	59.9987	14.8221
Sample 18	Session 2	18	-53.6517	-1.4032	90.5177	2022-04-06	11:00:14.593	TTL1	0.0000	1	14.9979	59.9987	87.7926
Sample 19	Session 2	19	-53.5144	-1.4399	91.0403	2022-04-06	11:00:23.605	TTL1	0.0000	1	14.9979	59.9987	68.4098
Sample 20	Session 2	20	-52.7488	-1.3683	91.8316	2022-04-06	11:00:32.615	TTL1	0.0000	1	14.9979	59.9987	19.3828
MEP_FIRST	Session 2	21	-53.4720	-1.0059	90.1564	2022-04-06	11:02:05.061	TTL1	0.0000	1	14.9979	59.9987	112.8762
Sample 22	Session 2	22	-52.8291	-1.2656	90.7090	2022-04-06	11:02:10.709	TTL1	0.0000	1	14.9979	59.9987	143.6606
Sample 23	Session 2	23	-52.9410	-1.4243	90.4179	2022-04-06	11:02:15.826	TTL1	0.0000	1	14.9979	59.9987	134.5393
Sample 24	Session 2	24	-52.8436	-1.5116	90.4190	2022-04-06	11:02:21.877	TTL1	0.0000	1	14.9979	59.9987	83.2319
Sample 25	Session 2	25	-53.6327	-1.6748	90.8484	2022-04-06	11:02:26.783	TTL1	0.0000	1	14.9979	59.9987	98.0541
Sample 26	Session 2	26	-53.0342	-1.3240	90.8800	2022-04-06	11:02:31.995	TTL1	0.0000	1	14.9979	59.9987	90.0729
Sample 27	Session 2	27	-52.8803	-1.1759	91.1915	2022-04-06	11:02:36.656	TTL1	0.0000	1	14.9979	59.9987	353.4507
Sample 28	Session 2	28	-53.0233	-1.0737	90.9480	2022-04-06	11:02:41.663	TTL1	0.0000	1	14.9979	59.9987	52.4475
Sample 29	Session 2	29	-53.0468	-0.9499	90.8989	2022-04-06	11:02:46.625	TTL1	0.0000	1	14.9979	59.9987	108.3155
Sample 30	Session 2	30	-52.7856	-0.7390	91.1337	2022-04-06	11:02:51.524	TTL1	0.0000	1	14.9979	59.9987	47.8869
Sample 31	Session 2	31	-52.9910	-1.2988	90.8417	2022-04-06	11:02:56.684	TTL1	0.0000	1	14.9979	59.9987	61.5688
Sample 32	Session 2	32	-52.7084	-1.2154	91.1983	2022-04-06	11:03:02.541	TTL1	0.0000	1	14.9979	59.9987	67.2696
Sample 33	Session 2	33	-53.0264	-1.1023	91.1890	2022-04-06	11:03:08.643	TTL1	0.0000	1	14.9979	59.9987	80.9516
Sample 34	Session 2	34	-53.1720	-1.2540	91.3270	2022-04-06	11:03:15.161	TTL1	0.0000	1	14.9979	59.9987	61.5688
Sample 35	Session 2	35	-53.0473	-1.4385	91.7027	2022-04-06	11:03:21.570	TTL1	0.0000	1	14.9979	59.9987	99.1942
Sample 36	Session 2	36	-54.6290	-1.6760	92.8545	2022-04-06	11:03:30.633	TTL1	0.0000	1	14.9979	59.9987	64.9893
Sample 37	Session 2	37	-53.6172	-1.3566	91.9594	2022-04-06	11:03:37.837	TTL1	0.0000	1	14.9979	59.9987	38.7656
Sample 38	Session 2	38	-53.4335	-1.3687	92.0560	2022-04-06	11:03:44.008	TTL1	0.0000	1	14.9979	59.9987	60.4287
Sample 39	Session 2	39	-53.3748	-1.1448	92.4837	2022-04-06	11:03:49.610	TTL1	0.0000	1	14.9979	59.9987	90.0729
Sample 40	Session 2	40	-53.1528	-0.8977	92.0895	2022-04-06	11:03:55.219	TTL1	0.0000	1	14.9979	59.9987	42.1861
Sample 41	Session 2	41	-53.1080	-0.3585	91.9264	2022-04-06	11:04:01.419	TTL1	0.0000	1	14.9979	59.9987	49.0270
Sample 42	Session 2	42	-52.9967	0.0301	91.9033	2022-04-06	11:04:09.385	TTL1	0.0000	1	14.9979	59.9987	61.5688
Sample 43	Session 2	43	-53.0064	-0.2722	91.7938	2022-04-06	11:04:15.795	TTL1	0.0000	1	14.9979	59.9987	54.7278
Sample 44	Session 2	44	-52.8513	-0.5181	92.1914	2022-04-06	11:04:21.802	TTL1	0.0000	1	14.9979	59.9987	43.3262
MEP_LAST	Session 2	45	-53.1271	-0.5979	91.7911	2022-04-06	11:04:27.421	TTL1	0.0000	1	14.9979	59.9987	125.4180
ICF_First	Session 2	46	-52.5648	-0.2969	91.6383	2022-04-06	11:07:22.131	TTL1	0.0000	1	14.9979	59.9987	630.5104
Sample 47	Session 2	47	-52.6266	-0.2581	91.6362	2022-04-06	11:07:32.211	TTL1	0.0000	1	14.9979	59.9987	91.2131
Sample 48	Session 2	48	-52.8949	-0.3603	91.1884	2022-04-06	11:07:42.239	TTL1	0.0000	1	14.9979	59.9987	55.8680
Sample 49	Session 2	49	-52.9159	0.0116	91.4142	2022-04-06	11:07:52.322	TTL1	0.0000	1	14.9979	59.9987	111.7360
Sample 50	Session 2	50	-53.1748	-0.4111	91.6709	2022-04-06	11:08:02.352	TTL1	0.0000	1	14.9979	59.9987	164.1835
Sample 51	Session 2	51	-53.2890	0.1555	91.5277	2022-04-06	11:08:12.419	TTL1	0.0000	1	14.9979	59.9987	136.8196
Sample 52	Session 2	52	-53.5660	-0.4477	91.7320	2022-04-06	11:08:22.460	TTL1	0.0000	1	14.9979	59.9987	121.9975
Sample 53	Session 2	53	-53.8730	0.3218	92.3537	2022-04-06	11:08:32.541	TTL1	0.0000	1	14.9979	59.9987	150.5016
Sample 54	Session 2	54	-53.8763	0.5850	92.7840	2022-04-06	11:08:42.578	TTL1	0.0000	1	14.9979	59.9987	205.2294
Sample 55	Session 2	55	-53.6024	0.1868	92.9860	2022-04-06	11:08:52.657	TTL1	0.0000	1	14.9979	59.9987	156.2024
Sample 56	Session 2	56	-53.8249	0.0056	92.7746	2022-04-06	11:09:02.697	TTL1	0.0000	1	14.9979	59.9987	123.1376
Sample 57	Session 2	57	-53.6885	-0.2832	92.1755	2022-04-06	11:09:12.778	TTL1	0.0000	1	14.9979	59.9987	321.5261
Sample 58	Session 2	58	-53.3864	-0.4104	92.0726	2022-04-06	11:09:22.820	TTL1	0.0000	1	14.9979	59.9987	368.2728
Sample 59	Session 2	59	-53.2334	-0.3749	92.1469	2022-04-06	11:09:32.886	TTL1	0.0000	1	14.9979	59.9987	137.9598
Sample 60	Session 2	60	-53.4803	-0.3343	91.9033	2022-04-06	11:09:42.922	TTL1	0.0000	1	14.9979	59.9987	207.5098
Sample 61	Session 2	61	-53.2105	-0.5643	92.0549	2022-04-06	11:09:52.949	TTL1	0.0000	1	14.9979	59.9987	53.5877
Sample 62	Session 2	62	-53.5433	-0.8821	92.2506	2022-04-06	11:10:02.987	TTL1	0.0000	1	14.9979	59.9987	326.0868
Sample 63	Session 2	63	-53.6802	-0.8117	92.1389	2022-04-06	11:10:13.069	TTL1	0.0000	1	14.9979	59.9987	41.0459
